@relation './imbalanced dataset/cod-rna.libsvm-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute class {-1,1}

@data
{0 -792,1 116,2 0.206897,3 0.198276,4 0.275862,5 0.206897,6 0.198276,7 0.275862,8 1}
{0 -902,1 122,2 0.237705,3 0.122951,4 0.295082,5 0.237705,6 0.122951,7 0.295082,8 1}
{0 -904,1 116,2 0.206897,3 0.198276,4 0.275862,5 0.206897,6 0.198276,7 0.275862,8 1}
{0 -804,1 116,2 0.206897,3 0.198276,4 0.275862,5 0.206897,6 0.198276,7 0.275862,8 1}
{0 -788,1 116,2 0.206897,3 0.198276,4 0.275862,5 0.206897,6 0.198276,7 0.275862,8 1}
{0 -832,1 117,2 0.239316,3 0.17094,4 0.290598,5 0.239316,6 0.17094,7 0.290598,8 1}
{0 -930,1 117,2 0.213675,3 0.162393,4 0.299145,5 0.213675,6 0.162393,7 0.299145,8 1}
{0 -804,1 116,2 0.215517,3 0.198276,4 0.275862,5 0.215517,6 0.198276,7 0.275862,8 1}
{0 -788,1 116,2 0.206897,3 0.206897,4 0.267241,5 0.206897,6 0.206897,7 0.267241,8 1}
{0 -902,1 121,2 0.22314,3 0.132231,4 0.297521,5 0.22314,6 0.132231,7 0.297521,8 1}
{0 -720,1 117,2 0.247863,3 0.239316,4 0.196581,5 0.247863,6 0.239316,7 0.196581,8 1}
{0 -672,1 117,2 0.247863,3 0.230769,4 0.205128,5 0.247863,6 0.230769,7 0.205128,8 1}
{0 -764,1 117,2 0.247863,3 0.239316,4 0.205128,5 0.247863,6 0.239316,7 0.205128,8 1}
{0 -850,1 117,2 0.230769,3 0.247863,4 0.222222,5 0.230769,6 0.247863,7 0.222222,8 1}
{0 -758,1 117,2 0.239316,3 0.213675,4 0.222222,5 0.239316,6 0.213675,7 0.222222,8 1}
{0 -860,1 128,2 0.25,3 0.226562,4 0.257812,5 0.25,6 0.226562,7 0.257812,8 1}
{0 -970,1 121,2 0.231405,3 0.132231,4 0.280992,5 0.231405,6 0.132231,7 0.280992,8 1}
{0 -710,1 117,2 0.222222,3 0.222222,4 0.222222,5 0.222222,6 0.222222,7 0.222222,8 1}
{0 -586,1 117,2 0.264957,3 0.239316,4 0.222222,5 0.264957,6 0.239316,7 0.222222,8 1}
{0 -592,1 117,2 0.264957,3 0.230769,4 0.230769,5 0.264957,6 0.230769,7 0.230769,8 1}
{0 -732,1 116,2 0.198276,3 0.224138,4 0.258621,5 0.198276,6 0.224138,7 0.258621,8 1}
{0 -744,1 116,2 0.189655,3 0.224138,4 0.275862,5 0.189655,6 0.224138,7 0.275862,8 1}
{0 -740,1 117,2 0.188034,3 0.222222,4 0.290598,5 0.188034,6 0.222222,7 0.290598,8 1}
{0 -742,1 117,2 0.179487,3 0.230769,4 0.290598,5 0.179487,6 0.230769,7 0.290598,8 1}
{0 -640,1 116,2 0.241379,3 0.241379,4 0.232759,5 0.241379,6 0.241379,7 0.232759,8 1}
{0 -612,1 115,2 0.252174,3 0.234783,4 0.252174,5 0.252174,6 0.234783,7 0.252174,8 1}
{0 -902,1 120,2 0.233333,3 0.133333,4 0.283333,5 0.233333,6 0.133333,7 0.283333,8 1}
{0 -668,1 115,2 0.234783,3 0.226087,4 0.252174,5 0.234783,6 0.226087,7 0.252174,8 1}
{0 -398,1 104,2 0.346154,3 0.201923,4 0.240385,5 0.346154,6 0.201923,7 0.240385,8 1}
{0 -592,1 114,2 0.280702,3 0.245614,4 0.236842,5 0.280702,6 0.245614,7 0.236842,8 1}
{0 -618,1 112,2 0.196429,3 0.241071,4 0.267857,5 0.196429,6 0.241071,7 0.267857,8 1}
{0 -626,1 111,2 0.18018,3 0.261261,4 0.252252,5 0.18018,6 0.261261,7 0.252252,8 1}
{0 -574,1 114,2 0.236842,3 0.22807,4 0.254386,5 0.236842,6 0.22807,7 0.254386,8 1}
{0 -616,1 116,2 0.206897,3 0.232759,4 0.241379,5 0.206897,6 0.232759,7 0.241379,8 1}
{0 -792,1 123,2 0.186992,3 0.260163,4 0.211382,5 0.186992,6 0.260163,7 0.211382,8 1}
{0 -906,1 117,2 0.196581,3 0.153846,4 0.307692,5 0.196581,6 0.153846,7 0.307692,8 1}
{0 -656,1 111,2 0.216216,3 0.225225,4 0.261261,5 0.216216,6 0.225225,7 0.261261,8 1}
{0 -874,1 127,2 0.212598,3 0.23622,4 0.283465,5 0.212598,6 0.23622,7 0.283465,8 1}
{0 -882,1 120,2 0.216667,3 0.141667,4 0.3,5 0.216667,6 0.141667,7 0.3,8 1}
{0 -1868,1 130,2 0.153846,3 0.107692,4 0.361538,5 0.153846,6 0.107692,7 0.361538,8 1}
{0 -842,1 120,2 0.25,3 0.216667,4 0.258333,5 0.25,6 0.216667,7 0.258333,8 1}
{0 -616,1 120,2 0.308333,3 0.241667,4 0.225,5 0.308333,6 0.241667,7 0.225,8 1}
{0 -628,1 119,2 0.294118,3 0.235294,4 0.218487,5 0.294118,6 0.235294,7 0.218487,8 1}
{0 -820,1 121,2 0.239669,3 0.214876,4 0.256198,5 0.239669,6 0.214876,7 0.256198,8 1}
{0 -690,1 119,2 0.285714,3 0.243697,4 0.201681,5 0.285714,6 0.243697,7 0.201681,8 1}
{0 -854,1 120,2 0.258333,3 0.225,4 0.25,5 0.258333,6 0.225,7 0.25,8 1}
{0 -676,1 120,2 0.241667,3 0.25,4 0.25,5 0.241667,6 0.25,7 0.25,8 1}
{0 -730,1 121,2 0.256198,3 0.22314,4 0.247934,5 0.256198,6 0.22314,7 0.247934,8 1}
{0 -884,1 119,2 0.210084,3 0.218487,4 0.268908,5 0.210084,6 0.218487,7 0.268908,8 1}
{0 -878,1 119,2 0.226891,3 0.235294,4 0.252101,5 0.226891,6 0.235294,7 0.252101,8 1}
{0 -840,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.226891,6 0.226891,7 0.260504,8 1}
{0 -840,1 119,2 0.218487,3 0.226891,4 0.260504,5 0.218487,6 0.226891,7 0.260504,8 1}
{0 -836,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.226891,6 0.226891,7 0.260504,8 1}
{0 -800,1 119,2 0.235294,3 0.235294,4 0.252101,5 0.235294,6 0.235294,7 0.252101,8 1}
{0 -836,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.235294,6 0.226891,7 0.260504,8 1}
{0 -836,1 119,2 0.235294,3 0.226891,4 0.260504,5 0.235294,6 0.226891,7 0.260504,8 1}
{0 -826,1 119,2 0.218487,3 0.218487,4 0.268908,5 0.218487,6 0.218487,7 0.268908,8 1}
{0 -618,1 121,2 0.272727,3 0.231405,4 0.239669,5 0.272727,6 0.231405,7 0.239669,8 1}
{0 -722,1 121,2 0.247934,3 0.239669,4 0.239669,5 0.247934,6 0.239669,7 0.239669,8 1}
{0 -714,1 118,2 0.228814,3 0.211864,4 0.271186,5 0.228814,6 0.211864,7 0.271186,8 1}
{0 -838,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.226891,6 0.226891,7 0.260504,8 1}
{0 -838,1 119,2 0.226891,3 0.226891,4 0.260504,5 0.226891,6 0.226891,7 0.260504,8 1}
{0 -692,1 121,2 0.239669,3 0.231405,4 0.239669,5 0.239669,6 0.231405,7 0.239669,8 1}
{0 -658,1 121,2 0.239669,3 0.239669,4 0.247934,5 0.239669,6 0.239669,7 0.247934,8 1}
{0 -746,1 119,2 0.226891,3 0.226891,4 0.252101,5 0.226891,6 0.226891,7 0.252101,8 1}
{0 -720,1 118,2 0.254237,3 0.237288,4 0.237288,5 0.254237,6 0.237288,7 0.237288,8 1}
{0 -920,1 119,2 0.210084,3 0.210084,4 0.277311,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -950,1 119,2 0.201681,3 0.201681,4 0.285714,5 0.201681,6 0.201681,7 0.285714,8 1}
{0 -612,1 119,2 0.294118,3 0.243697,4 0.218487,5 0.294118,6 0.243697,7 0.218487,8 1}
{0 -730,1 119,2 0.285714,3 0.210084,4 0.252101,5 0.285714,6 0.210084,7 0.252101,8 1}
{0 -822,1 118,2 0.220339,3 0.220339,4 0.262712,5 0.220339,6 0.220339,7 0.262712,8 1}
{0 -760,1 120,2 0.241667,3 0.225,4 0.25,5 0.241667,6 0.225,7 0.25,8 1}
{0 -816,1 118,2 0.220339,3 0.194915,4 0.288136,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -842,1 118,2 0.228814,3 0.20339,4 0.271186,5 0.228814,6 0.20339,7 0.271186,8 1}
{0 -780,1 119,2 0.193277,3 0.201681,4 0.294118,5 0.193277,6 0.201681,7 0.294118,8 1}
{0 -814,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.211864,6 0.194915,7 0.29661,8 1}
{0 -808,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.20339,6 0.194915,7 0.29661,8 1}
{0 -866,1 118,2 0.220339,3 0.20339,4 0.288136,5 0.220339,6 0.20339,7 0.288136,8 1}
{0 -808,1 118,2 0.254237,3 0.169492,4 0.29661,5 0.254237,6 0.169492,7 0.29661,8 1}
{0 -854,1 118,2 0.20339,3 0.186441,4 0.305085,5 0.20339,6 0.186441,7 0.305085,8 1}
{0 -716,1 118,2 0.228814,3 0.220339,4 0.262712,5 0.228814,6 0.220339,7 0.262712,8 1}
{0 -816,1 118,2 0.220339,3 0.194915,4 0.279661,5 0.220339,6 0.194915,7 0.279661,8 1}
{0 -802,1 118,2 0.245763,3 0.20339,4 0.254237,5 0.245763,6 0.20339,7 0.254237,8 1}
{0 -814,1 118,2 0.220339,3 0.194915,4 0.29661,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -802,1 118,2 0.211864,3 0.194915,4 0.29661,5 0.211864,6 0.194915,7 0.29661,8 1}
{0 -856,1 119,2 0.201681,3 0.193277,4 0.302521,5 0.201681,6 0.193277,7 0.302521,8 1}
{0 -822,1 119,2 0.226891,3 0.201681,4 0.285714,5 0.226891,6 0.201681,7 0.285714,8 1}
{0 -834,1 118,2 0.228814,3 0.194915,4 0.288136,5 0.228814,6 0.194915,7 0.288136,8 1}
{0 -782,1 118,2 0.194915,3 0.194915,4 0.29661,5 0.194915,6 0.194915,7 0.29661,8 1}
{0 -796,1 118,2 0.211864,3 0.194915,4 0.288136,5 0.211864,6 0.194915,7 0.288136,8 1}
{0 -832,1 119,2 0.201681,3 0.176471,4 0.302521,5 0.201681,6 0.176471,7 0.302521,8 1}
{0 -766,1 121,2 0.231405,3 0.181818,4 0.305785,5 0.231405,6 0.181818,7 0.305785,8 1}
{0 -854,1 118,2 0.220339,3 0.194915,4 0.288136,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -756,1 118,2 0.211864,3 0.20339,4 0.288136,5 0.211864,6 0.20339,7 0.288136,8 1}
{0 -728,1 119,2 0.235294,3 0.226891,4 0.252101,5 0.235294,6 0.226891,7 0.252101,8 1}
{0 -826,1 119,2 0.226891,3 0.176471,4 0.294118,5 0.226891,6 0.176471,7 0.294118,8 1}
{0 -788,1 118,2 0.20339,3 0.20339,4 0.288136,5 0.20339,6 0.20339,7 0.288136,8 1}
{0 -868,1 119,2 0.218487,3 0.176471,4 0.310924,5 0.218487,6 0.176471,7 0.310924,8 1}
{0 -888,1 119,2 0.201681,3 0.193277,4 0.294118,5 0.201681,6 0.193277,7 0.294118,8 1}
{0 -706,1 118,2 0.220339,3 0.194915,4 0.29661,5 0.220339,6 0.194915,7 0.29661,8 1}
{0 -824,1 119,2 0.218487,3 0.201681,4 0.277311,5 0.218487,6 0.201681,7 0.277311,8 1}
{0 -680,1 119,2 0.268908,3 0.235294,4 0.226891,5 0.268908,6 0.235294,7 0.226891,8 1}
{0 -952,1 119,2 0.218487,3 0.168067,4 0.294118,5 0.218487,6 0.168067,7 0.294118,8 1}
{0 -854,1 119,2 0.201681,3 0.201681,4 0.294118,5 0.201681,6 0.201681,7 0.294118,8 1}
{0 -794,1 118,2 0.20339,3 0.194915,4 0.29661,5 0.20339,6 0.194915,7 0.29661,8 1}
{0 -914,1 119,2 0.210084,3 0.176471,4 0.310924,5 0.210084,6 0.176471,7 0.310924,8 1}
{0 -784,1 119,2 0.218487,3 0.176471,4 0.294118,5 0.218487,6 0.176471,7 0.294118,8 1}
{0 -756,1 118,2 0.237288,3 0.228814,4 0.254237,5 0.237288,6 0.228814,7 0.254237,8 1}
{0 -738,1 118,2 0.271186,3 0.20339,4 0.271186,5 0.271186,6 0.20339,7 0.271186,8 1}
{0 -814,1 118,2 0.228814,3 0.211864,4 0.271186,5 0.228814,6 0.211864,7 0.271186,8 1}
{0 -1064,1 122,2 0.196721,3 0.155738,4 0.336066,5 0.196721,6 0.155738,7 0.336066,8 1}
{0 -756,1 121,2 0.239669,3 0.198347,4 0.289256,5 0.239669,6 0.198347,7 0.289256,8 1}
{0 -816,1 118,2 0.228814,3 0.211864,4 0.262712,5 0.228814,6 0.211864,7 0.262712,8 1}
{0 -796,1 118,2 0.237288,3 0.20339,4 0.279661,5 0.237288,6 0.20339,7 0.279661,8 1}
{0 -774,1 118,2 0.262712,3 0.194915,4 0.254237,5 0.262712,6 0.194915,7 0.254237,8 1}
{0 -822,1 119,2 0.226891,3 0.210084,4 0.268908,5 0.226891,6 0.210084,7 0.268908,8 1}
{0 -860,1 118,2 0.220339,3 0.194915,4 0.288136,5 0.220339,6 0.194915,7 0.288136,8 1}
{0 -678,1 119,2 0.252101,3 0.243697,4 0.243697,5 0.252101,6 0.243697,7 0.243697,8 1}
{0 -850,1 119,2 0.226891,3 0.201681,4 0.277311,5 0.226891,6 0.201681,7 0.277311,8 1}
{0 -800,1 118,2 0.220339,3 0.186441,4 0.29661,5 0.220339,6 0.186441,7 0.29661,8 1}
{0 -884,1 119,2 0.210084,3 0.176471,4 0.302521,5 0.210084,6 0.176471,7 0.302521,8 1}
{0 -822,1 119,2 0.235294,3 0.168067,4 0.285714,5 0.235294,6 0.168067,7 0.285714,8 1}
{0 -854,1 120,2 0.225,3 0.216667,4 0.266667,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -956,1 120,2 0.2,3 0.208333,4 0.291667,5 0.2,6 0.208333,7 0.291667,8 1}
{0 -822,1 120,2 0.241667,3 0.216667,4 0.266667,5 0.241667,6 0.216667,7 0.266667,8 1}
{0 -956,1 120,2 0.216667,3 0.216667,4 0.266667,5 0.216667,6 0.216667,7 0.266667,8 1}
{0 -956,1 120,2 0.225,3 0.208333,4 0.266667,5 0.225,6 0.208333,7 0.266667,8 1}
{0 -982,1 120,2 0.191667,3 0.208333,4 0.291667,5 0.191667,6 0.208333,7 0.291667,8 1}
{0 -890,1 120,2 0.233333,3 0.208333,4 0.275,5 0.233333,6 0.208333,7 0.275,8 1}
{0 -912,1 121,2 0.214876,3 0.231405,4 0.264463,5 0.214876,6 0.231405,7 0.264463,8 1}
{0 -900,1 121,2 0.206612,3 0.239669,4 0.264463,5 0.206612,6 0.239669,7 0.264463,8 1}
{0 -836,1 120,2 0.241667,3 0.241667,4 0.241667,5 0.241667,6 0.241667,7 0.241667,8 1}
{0 -712,1 119,2 0.235294,3 0.252101,4 0.243697,5 0.235294,6 0.252101,7 0.243697,8 1}
{0 -812,1 120,2 0.233333,3 0.25,4 0.241667,5 0.233333,6 0.25,7 0.241667,8 1}
{0 -860,1 120,2 0.233333,3 0.241667,4 0.25,5 0.233333,6 0.241667,7 0.25,8 1}
{0 -888,1 120,2 0.225,3 0.233333,4 0.258333,5 0.225,6 0.233333,7 0.258333,8 1}
{0 -802,1 120,2 0.2,3 0.275,4 0.241667,5 0.2,6 0.275,7 0.241667,8 1}
{0 -902,1 121,2 0.198347,3 0.272727,4 0.22314,5 0.198347,6 0.272727,7 0.22314,8 1}
{0 -762,1 120,2 0.216667,3 0.233333,4 0.275,5 0.216667,6 0.233333,7 0.275,8 1}
{0 -744,1 117,2 0.205128,3 0.264957,4 0.247863,5 0.205128,6 0.264957,7 0.247863,8 1}
{0 -848,1 119,2 0.235294,3 0.201681,4 0.277311,5 0.235294,6 0.201681,7 0.277311,8 1}
{0 -818,1 120,2 0.233333,3 0.241667,4 0.25,5 0.233333,6 0.241667,7 0.25,8 1}
{0 -754,1 119,2 0.210084,3 0.210084,4 0.277311,5 0.210084,6 0.210084,7 0.277311,8 1}
{0 -784,1 119,2 0.243697,3 0.226891,4 0.252101,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -886,1 120,2 0.225,3 0.233333,4 0.258333,5 0.225,6 0.233333,7 0.258333,8 1}
{0 -738,1 119,2 0.243697,3 0.235294,4 0.243697,5 0.243697,6 0.235294,7 0.243697,8 1}
{0 -770,1 120,2 0.25,3 0.233333,4 0.25,5 0.25,6 0.233333,7 0.25,8 1}
{0 -856,1 119,2 0.243697,3 0.226891,4 0.252101,5 0.243697,6 0.226891,7 0.252101,8 1}
{0 -780,1 120,2 0.258333,3 0.216667,4 0.241667,5 0.258333,6 0.216667,7 0.241667,8 1}
{0 -844,1 120,2 0.216667,3 0.216667,4 0.266667,5 0.216667,6 0.216667,7 0.266667,8 1}
{0 -924,1 120,2 0.208333,3 0.225,4 0.266667,5 0.208333,6 0.225,7 0.266667,8 1}
{0 -950,1 120,2 0.216667,3 0.25,4 0.241667,5 0.216667,6 0.25,7 0.241667,8 1}
{0 -868,1 120,2 0.216667,3 0.225,4 0.266667,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -926,1 120,2 0.2,3 0.2,4 0.291667,5 0.2,6 0.2,7 0.291667,8 1}
{0 -612,1 120,2 0.241667,3 0.233333,4 0.25,5 0.241667,6 0.233333,7 0.25,8 1}
{0 -822,1 120,2 0.225,3 0.2,4 0.283333,5 0.225,6 0.2,7 0.283333,8 1}
{0 -1010,1 120,2 0.208333,3 0.191667,4 0.291667,5 0.208333,6 0.191667,7 0.291667,8 1}
{0 -862,1 120,2 0.225,3 0.191667,4 0.291667,5 0.225,6 0.191667,7 0.291667,8 1}
{0 -840,1 120,2 0.225,3 0.225,4 0.275,5 0.225,6 0.225,7 0.275,8 1}
{0 -800,1 120,2 0.233333,3 0.233333,4 0.266667,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -690,1 120,2 0.275,3 0.283333,4 0.2,5 0.275,6 0.283333,7 0.2,8 1}
{0 -942,1 120,2 0.225,3 0.216667,4 0.266667,5 0.225,6 0.216667,7 0.266667,8 1}
{0 -862,1 120,2 0.233333,3 0.233333,4 0.25,5 0.233333,6 0.233333,7 0.25,8 1}
{0 -920,1 120,2 0.2,3 0.233333,4 0.266667,5 0.2,6 0.233333,7 0.266667,8 1}
{0 -924,1 120,2 0.216667,3 0.216667,4 0.275,5 0.216667,6 0.216667,7 0.275,8 1}
{0 -1076,1 120,2 0.216667,3 0.183333,4 0.3,5 0.216667,6 0.183333,7 0.3,8 1}
{0 -784,1 120,2 0.258333,3 0.225,4 0.25,5 0.258333,6 0.225,7 0.25,8 1}
{0 -964,1 120,2 0.2,3 0.208333,4 0.283333,5 0.2,6 0.208333,7 0.283333,8 1}
{0 -800,1 120,2 0.233333,3 0.233333,4 0.266667,5 0.233333,6 0.233333,7 0.266667,8 1}
{0 -1006,1 119,2 0.210084,3 0.193277,4 0.302521,5 0.210084,6 0.193277,7 0.302521,8 1}
{0 -836,1 121,2 0.231405,3 0.239669,4 0.247934,5 0.231405,6 0.239669,7 0.247934,8 1}
{0 -952,1 120,2 0.208333,3 0.216667,4 0.275,5 0.208333,6 0.216667,7 0.275,8 1}
{0 -768,1 120,2 0.25,3 0.225,4 0.266667,5 0.25,6 0.225,7 0.266667,8 1}
{0 -812,1 120,2 0.225,3 0.258333,4 0.233333,5 0.225,6 0.258333,7 0.233333,8 1}
{0 -820,1 120,2 0.233333,3 0.233333,4 0.241667,5 0.233333,6 0.233333,7 0.241667,8 1}
{0 -888,1 120,2 0.225,3 0.233333,4 0.25,5 0.225,6 0.233333,7 0.25,8 1}
{0 -914,1 120,2 0.225,3 0.225,4 0.258333,5 0.225,6 0.225,7 0.258333,8 1}
{0 -936,1 120,2 0.2,3 0.225,4 0.266667,5 0.2,6 0.225,7 0.266667,8 1}
{0 -980,1 120,2 0.2,3 0.216667,4 0.275,5 0.2,6 0.216667,7 0.275,8 1}
{0 -866,1 120,2 0.225,3 0.216667,4 0.258333,5 0.225,6 0.216667,7 0.258333,8 1}
{0 -946,1 120,2 0.216667,3 0.225,4 0.266667,5 0.216667,6 0.225,7 0.266667,8 1}
{0 -998,1 121,2 0.206612,3 0.22314,4 0.264463,5 0.206612,6 0.22314,7 0.264463,8 1}
{0 -1034,1 121,2 0.173554,3 0.231405,4 0.280992,5 0.173554,6 0.231405,7 0.280992,8 1}
{0 -936,1 120,2 0.2,3 0.208333,4 0.266667,5 0.2,6 0.208333,7 0.266667,8 1}
{0 -726,1 119,2 0.260504,3 0.252101,4 0.210084,5 0.260504,6 0.252101,7 0.210084,8 1}
{0 -978,1 121,2 0.181818,3 0.22314,4 0.272727,5 0.181818,6 0.22314,7 0.272727,8 1}
{0 -984,1 120,2 0.191667,3 0.208333,4 0.283333,5 0.191667,6 0.208333,7 0.283333,8 1}
{0 -996,1 120,2 0.2,3 0.225,4 0.266667,5 0.2,6 0.225,7 0.266667,8 1}
{0 -916,1 120,2 0.216667,3 0.225,4 0.25,5 0.216667,6 0.225,7 0.25,8 1}
{0 -910,1 120,2 0.216667,3 0.233333,4 0.258333,5 0.216667,6 0.233333,7 0.258333,8 1}
{0 -1070,1 120,2 0.2,3 0.2,4 0.283333,5 0.2,6 0.2,7 0.283333,8 1}
