@relation glass-0-1-6_vs_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute class {0,1}

@data
1.517369,12.7782,3.61894,1.29152,72.7892,0.58995,8.70104,0,0,1
1.517688,12.65185,3.56057,1.30115,73.0804,0.60858,8.69028,0,0.0714,1
1.517551,12.7117,3.42138,1.19843,73.198,0.58995,8.63648,0,0,1
1.517688,12.45235,2.71196,1.29152,73.702,0.5589,9.05612,0,0.1224,1
1.519055,13.6028,3.61894,1.10855,72.638,0.14283,8.75484,0,0,1
1.517665,13.21045,3.69078,1.29152,72.61,0.57132,8.21684,0,0,1
1.51566,13.29025,3.44832,1.21127,72.7388,0.5589,8.57192,0,0,1
1.522267,14.16805,3.81201,0.78113,71.35,0,9.69096,0,0,1
1.51967,14.7732,3.74915,0.29,72.022,0.03105,9.00232,0,0,1
1.517779,13.21045,2.81074,1.29152,72.9796,0.50922,9.02384,0,0.459,1
1.521971,14.3609,3.84793,0.89027,71.3612,0.14904,9.15296,0,0,1
1.519009,13.48975,3.47975,1.3493,71.9492,0.55269,9.00232,0,0,1
1.516458,13.40995,3.55159,1.24979,72.8116,0.6831,8.09848,0,0,1
1.516298,12.7117,3.33158,1.49054,73.282,0.67068,8.23836,0,0,1
1.527255,13.8023,3.15198,0.65915,70.5716,0.08073,11.63852,0,0,1
1.518918,13.46315,3.82997,1.25942,72.5484,0.57132,8.20608,0,0.0714,1
1.518713,12.93115,3.65935,1.56116,72.5092,0.57753,8.5504,0,0.0612,1
1.521765,13.7491,1.01025,1.35893,72.19,0.32913,11.14356,0,0,1
1.516276,12.99765,3.57853,1.53869,72.8284,0.60858,8.04468,0,0,1
1.516184,13.01095,3.5022,1.48091,72.89,0.60237,8.12,0,0,1
1.516048,12.8979,3.43934,1.44881,73.58,0.44091,8.27064,0,0,1
1.517073,13.7225,3.6818,1.81154,72.0612,0.63963,7.88328,0,0,1
1.516663,12.9378,3.60996,1.25942,72.75,0.5589,8.6042,0,0,1
1.526139,13.70255,0,1.35893,71.238,0.19251,13.43544,0,0.051,1
1.516891,13.33015,3.53812,1.60931,72.5428,0.6831,8.10924,0,0,1
1.516458,13.4432,3.60996,1.53869,72.3916,0.65826,8.03392,0,0,1
1.515934,13.25035,3.44832,1.42955,73.17,0.60858,7.86176,0,0,1
1.517437,12.19965,3.25076,1.15991,73.5508,0.621,8.89472,0,0.1224,1
1.52475,11.4482,0,1.87895,72.19,0.8073,13.24176,0,0.1734,1
1.51828,13.23705,3.90181,1.41029,72.33,0.55269,8.31368,0,0.051,1
1.517893,13.1905,3.90181,1.30115,72.33,0.55269,8.4428,0,0.1428,1
1.518394,12.85135,3.66833,1.24016,72.5708,0.621,8.67952,0,0.1785,1
1.515934,13.09075,3.592,1.51943,73.0972,0.67068,7.82948,0,0,1
1.515934,13.09075,3.52016,1.55153,72.8676,0.6831,8.04468,0,0.459,1
1.515888,13.11735,3.40791,1.58042,73.2596,0.06831,8.389,0,0.0969,1
1.518189,12.6186,2.76135,0.82928,73.8084,0.34776,9.42196,0,0.102,1
1.518462,13.0974,3.96916,1.1888,72.442,0.60237,8.43204,0,0,1
1.520809,13.78235,2.28092,1.42955,71.9884,0.49059,9.85236,0,0.0867,1
1.517118,12.89125,3.61894,1.57079,72.9572,0.60858,8.10924,0,0,1
1.516139,13.922,3.52016,1.24979,72.8788,0.3726,7.93708,0,0.0714,1
1.515911,12.858,3.52016,2.1197,72.6604,0.68931,7.96936,0,0,1
1.518417,13.0176,3.61894,1.0604,72.3412,0.63963,9.13144,0,0.0765,1
1.524089,13.8289,2.90054,1.16954,71.1484,0.08073,10.78848,0,0,1
1.516526,13.5629,3.56955,1.47128,72.4476,0.63963,7.9586,0,0,1
1.51844,13.25035,3.75813,1.32041,72.4028,0.57753,8.42128,0,0,1
1.518121,13.4299,3.97814,1.17917,72.4924,0.57753,8.15228,0,0,1
1.516321,13.3368,3.56955,1.57079,72.8676,0.60858,7.89404,0,0,1
1.516458,13.4033,3.48873,1.51943,72.6492,0.67068,8.07696,0,0.051,1
1.522221,14.4274,0,0.99941,72.6716,0.09936,11.52016,0,0.0408,1
1.527392,11.0226,0,0.74903,73.0804,0,14.96336,0,0,1
1.516868,13.2304,3.53812,1.48091,72.8396,0.5589,8.09848,0,0,1
1.518121,13.33015,3.84793,1.24979,72.778,0.52164,8.12,0,0,1
1.516617,12.85135,3.51118,1.43918,73.0076,0.6831,8.2276,0.5985,0.1275,1
1.515729,14.85965,3.66833,1.74092,71.8708,0.16146,7.35604,0,0.0612,1
1.516253,13.35675,3.57853,1.49054,72.722,0.44712,8.20608,0,0,1
1.518599,13.35675,3.43036,1.42955,72.2628,0.50922,8.6042,0,0,1
1.517301,12.3526,2.72094,1.62857,72.8676,0.70173,9.22828,0,0,1
1.517073,13.4831,3.47975,1.70882,72.5204,0.621,7.99088,0,0,1
1.518052,12.99765,3.79854,1.07966,73.0692,0.5589,8.37824,0,0.0612,1
1.515911,13.0176,3.57853,1.5098,73.1196,0.68931,7.9586,0,0,1
1.515683,13.23705,3.48873,1.47128,73.2484,0.37881,8.03392,0,0,1
1.518417,12.93115,3.74017,1.10855,72.2796,0.63963,8.95928,0,0.1122,1
1.53393,12.2994,0,0.99941,70.1628,0.11799,16.19,0,0.1224,1
1.527779,12.63855,0,0.66878,72.022,0.0621,14.40384,0,0,1
1.520194,13.98185,1.35149,1.62857,71.7588,0.39123,10.56252,0,0.51,1
1.518007,13.7092,3.92875,1.53869,71.8092,0.54027,8.20608,0,0.0765,1
1.515911,12.8181,3.52016,1.90142,72.862,0.68931,7.96936,0,0,1
1.516389,12.5521,3.47975,1.86932,73.2316,0.62721,8.07696,0,0.459,1
1.515911,13.23705,3.34056,1.47128,73.0972,0.39123,8.21684,0,0,1
1.516549,12.7516,2.85115,1.43918,73.2708,0.57132,8.78712,0.11025,0.1122,1
1.516731,13.2969,3.64139,1.52906,72.5316,0.65205,8.03392,0,0.1479,1
1.521765,13.19715,3.6818,1.15028,72.75,0.54027,8.51812,0,0,1
1.516731,12.8713,3.56057,1.64141,73.142,0.65205,7.99088,0,0,1
1.515957,13.0176,3.56057,1.53869,73.1084,0.72036,7.9048,0,0,1
1.514089,14.24785,3.08912,2.08118,72.2796,1.09917,7.07628,0,0,1
1.531242,10.73,0,2.10044,69.81,0.57753,13.29556,3.15,0.1428,1
1.518462,13.40995,3.88834,1.33004,72.3804,0.50922,8.2814,0,0,1
1.520672,13.5496,2.08785,1.6703,72.1788,0.52785,9.5726,0.2709,0.0867,1
1.516731,12.7915,3.52016,1.53869,73.3604,0.65826,7.9048,0,0,1
1.516594,12.991,3.17892,1.23053,72.9684,0.57753,8.80864,0,0.1224,1
1.518485,13.6427,3.87038,1.26905,71.9604,0.54027,8.32444,0,0.1632,1
1.518189,13.7225,0,0.55964,74.4524,0,10.99292,0,0,1
1.51664,12.93115,3.53812,1.61894,72.9572,0.63963,8.03392,0,0.1071,1
1.517096,12.99765,3.47077,1.78907,72.722,0.65826,8.18456,0,0,1
1.516891,12.6718,2.87809,1.70882,73.2092,0.73278,8.53964,0,0,1
1.52664,11.22875,0,0.7715,73.2092,0,14.6836,0,0,1
1.518508,13.19715,3.62792,1.07003,72.8284,0.57132,8.41052,0.09135,0.0867,1
1.518121,12.95775,2.95891,1.42955,72.918,0.60237,8.78712,0.1386,0,1
1.516526,11.94695,0,1.1888,75.1804,2.70135,8.927,0,0,1
1.520649,14.3609,0,2.02019,73.422,0,8.4428,1.64115,0,1
1.511309,13.68925,3.20137,1.81154,72.8116,1.75743,5.43,1.1907,0,1
1.515569,13.8688,0,2.54021,73.2316,0.14283,9.4112,0.80955,0.0051,1
1.516389,14.36755,0,2.73923,72.8508,0,9.45424,0.53865,0,1
1.523155,13.4432,3.34056,1.23053,72.3804,0.60237,8.83016,0,0,1
1.515455,14.14145,0,2.68145,73.3884,0.08073,9.06688,0.6111,0.0255,1
1.516503,14.38085,0,1.93994,73.6124,0,8.47508,1.5687,0,1
1.516822,14.5604,0,1.97846,73.2876,0,8.51812,1.5687,0.0357,1
1.516458,14.93945,0,1.86932,73.1084,0,8.66876,1.3797,0,1
1.517187,14.75325,0,2.00093,73.0188,0,8.52888,1.59075,0.0408,1
1.516162,14.95275,0,2.27057,73.2988,0,8.7118,0.67095,0,1
1.517118,14.2279,0,2.08118,73.3604,0,8.61496,1.6695,0,1
1.523656,15.79065,1.83192,1.31078,70.4316,0.3105,8.61496,1.67895,0,1
1.515137,14.853,0,2.42144,73.7188,0,8.389,0.5607,0,1
1.516845,14.9195,0,1.9913,73.58,0,8.39976,1.59075,0,1
1.51623,14.2013,0,2.79059,73.4612,0.03726,9.04536,0.40005,0.459,1
1.515319,14.38085,0,2.65898,73.0972,0.03726,9.07764,0.63945,0,1
1.516093,15.126,0,2.51132,73.0524,0.04968,8.83016,0.5292,0,1
1.518303,14.3875,0,1.82117,72.862,1.40967,6.47372,2.8791,0,1
1.516025,14.853,0,2.37971,73.282,0,8.75484,0.63945,0.459,1
1.517278,14.70005,0,2.34119,73.282,0,8.94852,0.6615,0,1
1.51623,14.14145,0,2.88047,72.61,0.08073,9.18524,1.06155,0,1
1.518371,14.321,3.25974,2.21921,71.2492,1.45935,5.78508,1.62855,0,1
1.516572,14.7998,0,1.9913,73.1084,0,8.2814,1.71045,0,1
1.517323,14.95275,0,1.7987,72.9908,0,8.61496,1.5498,0,1
1.516139,13.8821,1.77804,1.78907,73.0972,0,8.66876,0.75915,0,1
1.515091,15.15225,0,2.25131,73.5004,0,8.3352,0.63,0,1
1.522472,14.85965,2.2001,2.05871,70.258,0.75762,9.75552,0,0,1
1.519693,14.5604,0,0.55964,73.478,0,11.21888,0,0,0
1.51115,17.38,0,0.34136,75.41,0,6.64588,0,0,0
1.519374,13.789,2.41113,1.1888,72.7612,0,9.76628,0,0,0
1.51828,14.46065,2.24051,1.61894,72.3804,0,9.26056,0,0,0
1.518531,14.08825,2.19112,1.66067,72.6716,0,9.32512,0,0,0
1.512995,14.4008,1.74212,1.53869,74.5476,0,7.59276,0,0,0
1.518872,14.99265,0.78126,1.74092,72.498,0,9.9492,0,0,0
1.519055,14.0018,2.38868,1.56116,72.3692,0,9.5726,0,0,0
1.519169,14.1481,0,2.09081,72.7388,0,10.88532,0,0,0
